Player,AVG EAV
James Harden,11.802
Trae Young,11.719000000000001
Nikola Jokic,11.477
Chris Paul,9.61
Ja Morant,9.357999999999999
Darius Garland,8.929
Russell Westbrook,8.699
Jrue Holiday,8.5
Domantas Sabonis,8.01
LeBron James,7.957999999999999
Draymond Green,7.568
Marcus Smart,7.162000000000001
Jalen Brunson,7.0360000000000005
Stephen Curry,6.956
De'Aaron Fox,6.905
Jamal Murray,6.821000000000001
Ben Simmons,6.534
Dejounte Murray,6.487
Giannis Antetokounmpo,6.295
Devin Booker,6.171
Jimmy Butler,5.87
Tyus Jones,5.854
Kyle Lowry,5.742000000000001
Kyle Anderson,5.687
Paul George,5.669
Kyrie Irving,5.627000000000001
Kevin Durant,5.49
Jayson Tatum,5.069
Donovan Mitchell,5.053
Jordan Poole,5.025
Dennis Schroder,5.02
Anthony Edwards,5.008
Desmond Bane,4.867
Cameron Payne,4.794
Julius Randle,4.625
Joel Embiid,4.623
Tyler Herro,4.601
Malik Monk,4.577
Derrick White,4.4719999999999995
Caris LeVert,4.386
Kawhi Leonard,4.377
Royce O'Neale,4.2410000000000005
Malcolm Brogdon,4.217
Mikal Bridges,4.157
Jordan McLaughlin,4.046
Immanuel Quickley,3.968
Donte DiVincenzo,3.915
Jaylen Brown,3.888
Tyrese Maxey,3.8789999999999996
Austin Reaves,3.866
Victor Oladipo,3.861
Bruce Brown,3.8289999999999997
Reggie Jackson,3.654
Bam Adebayo,3.609
Joe Ingles,3.568
Shake Milton,3.549
Spencer Dinwiddie,3.4
Kevin Huerter,3.384
Aaron Gordon,3.375
Al Horford,3.3510000000000004
Ty Jerome,3.241
Evan Mobley,3.2260000000000004
Bogdan Bogdanovic,3.161
RJ Barrett,3.108
Anthony Davis,2.992
De'Anthony Melton,2.93
Dillon Brooks,2.906
Tobias Harris,2.795
Klay Thompson,2.7539999999999996
Kentavious Caldwell-Pope,2.738
Patrick Beverley,2.722
Ish Smith,2.6910000000000003
Gabe Vincent,2.6710000000000003
Kevon Looney,2.667
Steven Adams,2.6210000000000004
Davion Mitchell,2.608
Jevon Carter,2.6060000000000003
Terance Mann,2.529
Grayson Allen,2.502
Russell Westbrook,2.496
Bones Hyland,2.481
Quentin Grimes,2.3930000000000002
Max Strus,2.391
Jaylen Nowell,2.299
Jaden McDaniels,2.2
Jonathan Kuminga,2.0469999999999997
Norman Powell,2.039
Mike Conley,2.015
Marcus Morris Sr.,1.9869999999999999
Nic Claxton,1.984
Jarrett Allen,1.9
Deandre Ayton,1.845
Grant Williams,1.839
Raul Neto,1.8259999999999998
Taurean Prince,1.817
Caleb Martin,1.7919999999999998
Harrison Barnes,1.7719999999999998
Xavier Tillman,1.76
Seth Curry,1.7309999999999999
Cedi Osman,1.681
Anthony Lamb,1.6769999999999998
Nicolas Batum,1.671
Duane Washington Jr.,1.65
Bobby Portis,1.6380000000000001
George Hill,1.635
Austin Rivers,1.6230000000000002
Josh Okogie,1.617
D'Angelo Russell,1.599
John Konchar,1.574
Torrey Craig,1.571
De'Andre Hunter,1.554
Cam Thomas,1.5419999999999998
Aaron Holiday,1.5330000000000001
Joe Harris,1.525
Payton Pritchard,1.5
Vlatko Cancar,1.4909999999999999
Dario Saric,1.464
Damion Lee,1.4609999999999999
Isaiah Hartenstein,1.443
Brook Lopez,1.443
Edmond Sumner,1.429
Troy Brown Jr.,1.419
Cameron Johnson,1.406
Brandon Clarke,1.402
Jeff Green,1.3869999999999998
Santi Aldama,1.3840000000000001
Keegan Murray,1.3719999999999999
Josh Hart,1.37
Pat Connaughton,1.369
Robert Covington,1.357
Rudy Gobert,1.311
Jalen Johnson,1.3019999999999998
John Collins,1.296
Lonnie Walker IV,1.276
Isaac Okoro,1.273
Terence Davis,1.272
Naz Reid,1.2690000000000001
Miles McBride,1.264
Michael Porter Jr.,1.213
